paper_id,title,abstract,category,year
1,Transformer Retrieval for Language Understanding Study 1,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and benchmark on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
2,Long-Context Language Models: Document Retrieval and Image Segmentation,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and dataset on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
3,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and generalization on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
4,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and embedding model on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
5,Terminology Grounding for Language Understanding Study 5,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and evaluation on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
6,Transformer Retrieval: Evidence Ranking and Document Retrieval,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and transfer learning on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
7,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and uncertainty on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
8,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and robustness on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
9,Scientific Claim Verification for Language Understanding Study 9,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and ablation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
10,Terminology Grounding: Summarization and Event Reconstruction,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and scientific workflow on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
11,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and benchmark on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
12,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and dataset on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
13,Citation-Aware Summarization for Language Understanding Study 13,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and generalization on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
14,Scientific Claim Verification: Document Retrieval and Simulation Grid,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and embedding model on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
15,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and evaluation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
16,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and transfer learning on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
17,Long-Context Language Models for Language Understanding Study 17,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and uncertainty on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
