paper_id,chunk_id,chunk_index,chunk_text,section_title,section_path,page_start,page_end,char_start,char_end,title,authors,category,published,url,arxiv_id,topic_cluster,token_count,word_count,contains_citation_marker,contains_equation_like_text,source_word_start,source_word_end
astrobench_cc18f51e25,astrobench_cc18f51e25_chunk_000,0,"Laplace-Legendre expansion of the planar planetary Hamiltonian. We explore a hybrid expansion of the disturbing function in planetary dynamics that combines elements of the classical Laplace and Legendre developments. This formulation retains the structure of the Laplace expansion, but expresses the inverse of the mutual distance as a series whose terms keep an exact dependence on both the eccentricity and the semi-major axis ratio. We use it to construct the first-order secular Hamiltonian of the planar 3-body problem, relevant for modeling the long-term evolution of planetary systems. We assess the convergence of the new expansion numerically and compare it with that of the Laplace and Legendre series across a range of orbital configurations. The results show that the new expansion",title_abstract,title_abstract,,,,,Laplace-Legendre expansion of the planar planetary Hamiltonian,"Aya Alnajjarine, Jacques Laskar, Federico Mogavero",astro-ph.EP,2026-03-17T13:51:12Z,http://arxiv.org/abs/2603.16528v1,2603.16528,action_angle_methods,156,120,False,False,0,120
astrobench_cc18f51e25,astrobench_cc18f51e25_chunk_001,1,"convergence of the new expansion numerically and compare it with that of the Laplace and Legendre series across a range of orbital configurations. The results show that the new expansion provides consistent performance across diverse dynamical regimes, bridging the domains of applicability of the two classical approaches.",title_abstract,title_abstract,,,,,Laplace-Legendre expansion of the planar planetary Hamiltonian,"Aya Alnajjarine, Jacques Laskar, Federico Mogavero",astro-ph.EP,2026-03-17T13:51:12Z,http://arxiv.org/abs/2603.16528v1,2603.16528,action_angle_methods,62,47,False,False,90,137
astrobench_25d49d337f,astrobench_25d49d337f_chunk_000,0,"Democratic heliocentric coordinates underestimate the rate of instabilities in long-term integrations of the Solar System. Wisdom-Holman (WH) integrators are symplectic operator-splitting methods widely used for long-term N-body simulations of planetary systems. Most implementations use either Jacobi coordinates or democratic heliocentric coordinates (DHC) for the Hamiltonian splitting, resulting in slightly different algorithms. In this paper we report results from numerical experiments, which show that integrations of the Solar System using DHC coordinates with typical timesteps of a few days suppress instabilities of the planet Mercury. We further show that this is due to an eccentricity dependent artificial numerical precession introduced by the DHC splitting. While the DHC splitting converges to the correct results at shorter timesteps of ~0.6 days, we argue",title_abstract,title_abstract,,,,,Democratic heliocentric coordinates underestimate the rate of instabilities in long-term integrations of the Solar System,"Hanno Rein, Kavi Dey, Daniel Tamayo",astro-ph.EP,2026-01-12T21:51:55Z,http://arxiv.org/abs/2601.08019v1,2601.08019,action_angle_methods,156,120,False,False,0,120
astrobench_25d49d337f,astrobench_25d49d337f_chunk_001,1,"due to an eccentricity dependent artificial numerical precession introduced by the DHC splitting. While the DHC splitting converges to the correct results at shorter timesteps of ~0.6 days, we argue that Jacobi coordinates remain reliable to significantly longer timesteps when orbits become moderately eccentric, and are thus a better choice when the innermost planet can reach high eccentricities.",title_abstract,title_abstract,,,,,Democratic heliocentric coordinates underestimate the rate of instabilities in long-term integrations of the Solar System,"Hanno Rein, Kavi Dey, Daniel Tamayo",astro-ph.EP,2026-01-12T21:51:55Z,http://arxiv.org/abs/2601.08019v1,2601.08019,action_angle_methods,76,58,False,False,90,148
astrobench_a36c60393b,astrobench_a36c60393b_chunk_000,0,"Exploring the formation mechanisms of tidal structures in globular clusters of extragalactic origin. Tidal structures around globular clusters provide valuable insights into cluster evolution and the hierarchical assembly of the Milky Way. Using wide-field imaging data from the DESI Legacy Survey combined with a color-magnitude matched-filter technique, we perform a systematic analysis of extra-tidal features in 28 Galactic globular clusters of likely extragalactic origin, representing the largest homogeneous sample examined in this context to date. The clusters display diverse morphologies: 12 exhibit tidal tails, 9 show diffuse envelopes, and 7 reveal no clear extra-tidal features. Notably, we report the first detection of an extended tidal structure around the Sagittarius-associated cluster Terzan 7. To explore the underlying drivers, we compare intrinsic",title_abstract,title_abstract,,,,,Exploring the formation mechanisms of tidal structures in globular clusters of extragalactic origin,"Shouzhi Wang, Jundan Nie, Biwei Jiang, Hao Tian, Chao Liu, Ying-Hua Zhang",astro-ph.GA,2026-01-03T08:11:20Z,http://arxiv.org/abs/2601.01110v2,2601.01110,action_angle_methods,156,120,False,False,0,120
astrobench_a36c60393b,astrobench_a36c60393b_chunk_001,1,"reveal no clear extra-tidal features. Notably, we report the first detection of an extended tidal structure around the Sagittarius-associated cluster Terzan 7. To explore the underlying drivers, we compare intrinsic properties, orbital dynamics, and possible accretion associations across morphological groups. From the parameter distributions, complemented by Kolmogorov-Smirnov tests, we find that total mass, escape velocity, concentration, tidal filling factor, pericentric radius, eccentricity and radial angle in action-angle coordinates are all likely group-sensitive parameters. These results suggest that both internal cluster properties and orbital configurations play important roles in shaping extra-tidal morphologies. In addition, the cluster's accretion history shows no clear correlation with the presence of tidal features, indicating that it is not a direct driver of outer structure formation. Overall,",title_abstract,title_abstract,,,,,Exploring the formation mechanisms of tidal structures in globular clusters of extragalactic origin,"Shouzhi Wang, Jundan Nie, Biwei Jiang, Hao Tian, Chao Liu, Ying-Hua Zhang",astro-ph.GA,2026-01-03T08:11:20Z,http://arxiv.org/abs/2601.01110v2,2601.01110,action_angle_methods,156,120,False,False,90,210
astrobench_a36c60393b,astrobench_a36c60393b_chunk_002,2,"morphologies. In addition, the cluster's accretion history shows no clear correlation with the presence of tidal features, indicating that it is not a direct driver of outer structure formation. Overall, the diversity of tidal structures is unlikely to be governed by a single factor, but instead reflects the interplay between internal dynamical evolution and the external Galactic environment. This study provides the most comprehensive constraints so far on the physical processes driving extra-tidal structures in accreted globular clusters.",title_abstract,title_abstract,,,,,Exploring the formation mechanisms of tidal structures in globular clusters of extragalactic origin,"Shouzhi Wang, Jundan Nie, Biwei Jiang, Hao Tian, Chao Liu, Ying-Hua Zhang",astro-ph.GA,2026-01-03T08:11:20Z,http://arxiv.org/abs/2601.01110v2,2601.01110,action_angle_methods,102,78,False,False,180,258
astrobench_705f443da5,astrobench_705f443da5_chunk_000,0,"Distribution function-based modelling of discrete kinematic datasets, in application to the Milky Way nuclear star cluster. We present a method for constructing dynamical models of stellar systems described by distribution functions and constrained by discrete-kinematic data. We implement various improvements compared to earlier applications of this approach, demonstrating with several examples that it can deliver meaningful constraints on the mass distribution even in situations when the density profile of tracers and the selection function of the kinematic catalogue are unknown. We then apply this method to the Milky Way nuclear star cluster, using kinematic data (line-of-sight velocities and proper motions) for a few thousand stars within 10 pc from the central black hole, accounting for the contributions of the nuclear",title_abstract,title_abstract,,,,,"Distribution function-based modelling of discrete kinematic datasets, in application to the Milky Way nuclear star cluster","Eugene Vasiliev, Anja Feldmeier-Krause, Mattia C. Sormani",astro-ph.GA,2026-03-31T09:44:14Z,http://arxiv.org/abs/2603.29502v1,2603.29502,distribution_functions,156,120,False,False,0,120
astrobench_705f443da5,astrobench_705f443da5_chunk_001,1,"star cluster, using kinematic data (line-of-sight velocities and proper motions) for a few thousand stars within 10 pc from the central black hole, accounting for the contributions of the nuclear stellar disc and the Galactic bar. We measure the mass of the black hole to be 4x10^6 Msun with a 10% uncertainty, which agrees with the more precise value obtained by the GRAVITY instrument. The inferred stellar mass profile depends on the choice of kinematic data, but the total mass within 10 pc is well constrained in all models to be (2.0-2.3)x10^7 Msun. We make our models publicly available as part of the Agama software framework for galactic dynamics.",title_abstract,title_abstract,,,,,"Distribution function-based modelling of discrete kinematic datasets, in application to the Milky Way nuclear star cluster","Eugene Vasiliev, Anja Feldmeier-Krause, Mattia C. Sormani",astro-ph.GA,2026-03-31T09:44:14Z,http://arxiv.org/abs/2603.29502v1,2603.29502,distribution_functions,142,109,False,False,90,199
astrobench_f31aa696a1,astrobench_f31aa696a1_chunk_000,0,"Forward-modelling Milky Way Cepheids: selection effects and physical priors in the Gaia-HST calibration. The advent of high-precision Gaia parallaxes for Milky Way Cepheids enables per cent-level calibration of the local distance ladder and $H_0$. We revisit the Milky Way Cepheid calibration from Gaia EDR3 parallaxes using a fully forward-modelled Bayesian framework that simultaneously infers the period--luminosity relation, the Gaia parallax zero-point offset, and individual stellar distances while explicitly incorporating the disk geometry of the Galaxy through the distance prior and the selection functions specified in two distinct HST SH0ES campaigns. We derive an analytic treatment of the detection probability that accounts for magnitude, parallax, period, and extinction cuts and reduces the selection treatment to a tractable integral over distance and",title_abstract,title_abstract,,,,,Forward-modelling Milky Way Cepheids: selection effects and physical priors in the Gaia-HST calibration,"Richard Stiskalek, Adam Riess, Harry Desmond, Guilhem Lavaux, Dan Scolnic",astro-ph.GA,2026-03-10T16:39:31Z,http://arxiv.org/abs/2603.09880v1,2603.09880,distribution_functions,156,120,False,True,0,120
